archivo,total_articulos,con_abstract,sin_abstract
enriquecido_articulos_scopus_1820_1829.csv,476,0,476
enriquecido_articulos_scopus_1830_1839.csv,1004,0,1004
enriquecido_articulos_scopus_1840_1849.csv,999,0,999
enriquecido_articulos_scopus_1850_1859.csv,1254,0,1254
enriquecido_articulos_scopus_1860_1869.csv,1429,1,1428
enriquecido_articulos_scopus_1870_1879.csv,2021,1,2020
enriquecido_articulos_scopus_1880_1889.csv,3025,13,3012
enriquecido_articulos_scopus_1890_1899.csv,3491,1,3490
enriquecido_articulos_scopus_1900_1909.csv,4115,6,4109
enriquecido_articulos_scopus_1910_1919.csv,4178,37,4141
enriquecido_articulos_scopus_1920_1929.csv,8245,80,8165
enriquecido_articulos_scopus_1930_1939.csv,10810,363,10447
enriquecido_articulos_scopus_1940_1949.csv,8947,1546,7401
enriquecido_articulos_scopus_1950_1959.csv,27009,5737,21272
enriquecido_articulos_scopus_1960_1969.csv,61252,18792,42460
enriquecido_articulos_scopus_1970_1979.csv,138280,80401,57879
enriquecido_articulos_scopus_1980_1989.csv,206734,148482,58252
enriquecido_articulos_scopus_1990_1999.csv,387162,335752,51410
enriquecido_articulos_scopus_2000_2009.csv,682816,656209,26607
