archivo;total_articulos;con_keywords;sin_keywords;pct_con_keywords;pct_sin_keywords
enriquecido_articulos_scopus_1820_1829.csv;476;0;476;0;100
enriquecido_articulos_scopus_1830_1839.csv;1004;0;1004;0;100
enriquecido_articulos_scopus_1840_1849.csv;999;0;999;0;100
enriquecido_articulos_scopus_1850_1859.csv;1254;0;1254;0;100
enriquecido_articulos_scopus_1860_1869.csv;1429;0;1429;0;100
enriquecido_articulos_scopus_1870_1879.csv;2021;0;2021;0;100
enriquecido_articulos_scopus_1880_1889.csv;3025;0;3025;0;100
enriquecido_articulos_scopus_1890_1899.csv;3491;0;3491;0;100
enriquecido_articulos_scopus_1900_1909.csv;4115;0;4115;0;100
enriquecido_articulos_scopus_1910_1919.csv;4178;0;4178;0;100
enriquecido_articulos_scopus_1920_1929.csv;8245;0;8245;0;100
enriquecido_articulos_scopus_1930_1939.csv;10810;0;10810;0;100
enriquecido_articulos_scopus_1940_1949.csv;8947;329;8618;3.68;96.32
enriquecido_articulos_scopus_1950_1959.csv;27009;887;26122;3.28;96.72
enriquecido_articulos_scopus_1960_1969.csv;61252;491;60761;0.8;99.2
enriquecido_articulos_scopus_1970_1979.csv;138280;16541;121739;11.96;88.04
enriquecido_articulos_scopus_1980_1989.csv;206734;40830;165904;19.75;80.25
enriquecido_articulos_scopus_1990_1999.csv;387162;126929;260233;32.78;67.22
enriquecido_articulos_scopus_2000_2009.csv;682816;435468;247348;63.78;36.22
