code,description,detail,abbrev
2600,Mathematics,Mathematics (all),MATH
2601,Mathematics,Mathematics (miscellaneous),MATH
2602,Mathematics,Algebra and Number Theory,MATH
2603,Mathematics,Analysis,MATH
2604,Mathematics,Applied Mathematics,MATH
2605,Mathematics,Computational Mathematics,MATH
2606,Mathematics,Control and Optimization,MATH
2607,Mathematics,Discrete Mathematics and Combinatorics,MATH
2608,Mathematics,Geometry and Topology,MATH
2609,Mathematics,Logic,MATH
2610,Mathematics,Mathematical Physics,MATH
2611,Mathematics,Modeling and Simulation,MATH
2612,Mathematics,Numerical Analysis,MATH
2613,Mathematics,Statistics and Probability,MATH
2614,Mathematics,Theoretical Computer Science,MATH
